泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
คุณเฉินหรือคุณหลิน	khun chen reu khun lin	陳先生/小姐或是林先生/小姐？	初 2-2	ห
อยู่กับภรรยา	yuu kap phan ra yaa	跟妻子住	初 2-2	ภรร
พวกเขาชอบกัน	phuak khao chop gan	他們互相喜歡	初 2-2	พวก
พวกเราเป็นเพื่อนกัน	phuak rao pen phuean gan	我們是朋友	初 2-2	พวก
เพื่อนร่วมงาน	phuean ruam ngaan	同事	初 2-2	ร่วม
ร่วม	ruam	同、共同	初 2-2	ร่วม
เป็นเพื่อนร่วมงานกัน	pen phuean ruam ngaan gan	（互相）是同事關係	初 2-2	ร่วม
เป็นสามีภรรยากัน	pen sa mii phan ra yaa gan	（互相）是夫妻關係	初 2-2	ภรร
เพื่อนร่วมงาน	phuean ruam ngaan	同事	初 2-2	ร่วม
ยิ่งกินยิ่งอ้วน	ying gin ying uan	越吃越胖	初 2-2	อ้วน
อ้วน	uan	胖	初 2-2	อ้วน
คุณไม่อ้วน	khun mai uan	你不胖	初 2-2	อ้วน
ฉันอ้วนมาก	chan uan mak	我很胖	初 2-2	อ้วน
เพื่อนร่วมงาน	phuean ruam ngaan	同事	初 2-2	ร่วม
ร่วม	ruam	共同	初 2-2	ร่วม
พวกคุณ	phuak khun	你們	初 2-3	พวก
พวกคุณชอบเล่นอะไร	phuak khun chop len arai	你們喜歡玩什麼？	初 2-3	พวก
พวกคุณมาบ่อยไหม	phuak khun maa boi mai	你們常來嗎？	初 2-3	พวก
พวกเรา / เรา	phuak rao / rao	我們	初 2-3	พวก
พวกเรามาไม่บ่อย	phuak rao maa mai boi	我們不常來	初 2-3	พวก
พวกเรามาบ่อยๆ ค่ะ	phuak rao maa boi boi kha	我們常常來啊	初 2-3	พวก
สุพิตตาเป็นชื่อเล่นหรือชื่อจริง	Supitta pen chue len reu chue jing	Supitta 是小名還是真名？	初 2-3	จริง
เป็นชื่อจริง	pen chue jing	是真名	初 2-3	จริง
พวกเราไปเที่ยวทะเลด้วยกันไหม	phuak rao pai thiao tha lay duay gan mai	我們一起去海邊玩好嗎？	初 2-3	พวก
พวกเราไปเที่ยวทะเลกันไหม	phuak rao pai thiao tha lay gan mai	我們一起去海邊玩好嗎？	初 2-3	พวก
พวกเขาเป็นเพื่อนบ้านกัน	phuak khao pen phuean baan gan	他們互為鄰居	初 2-3	พวก
พวกเขาเป็นเพื่อนนักเรียนกัน	phuak khao pen phuean nak rian gan	他們是同學	初 2-3	พวก
เพื่อนร่วมงาน	phuean ruam ngaan	同事	初 2-3	ร่วม
พวกเขาเป็นเพื่อนร่วมงานกัน	phuak khao pen phuean ruam ngaan gan	他們是同事	初 2-3	พวก, ร่วม
พวกเขาเป็นพี่น้องกัน	phuak khao pen phii nong gan	他們是兄弟姊妹	初 2-3	พวก
ยิ่งกินยิ่งอ้วน	ying gin ying uan	越吃越胖	初 2-3	อ้วน
หูฉลาม	hu cha laam	魚翅	初 2-3	ฉลาม
ฉลาม	cha laam	鯊魚	初 2-3	ฉลาม
หูฉลาม อร่อยแต่แพง	hu cha laam aroi tae paeng	魚翅好吃但貴	初 2-3	ฉลาม
จมูก	ja mook	鼻子	初 2-3	จมูก
จมูกใหญ่	ja mook yai	鼻子大	初 2-3	จมูก
จมูกเล็ก	ja mook lek	鼻子小	初 2-3	จมูก
จมูกเล็ก แต่น่ารัก	ja mook lek tae na rak	鼻子小，但是很可愛	初 2-3	จมูก
จมูกแบน	ja mook baen	塌鼻子	初 2-3	จมูก
ใช้นิ้วกด	chai niu god	用手指按	初 2-3	กด
กด	god	按	初 2-3	กด
กดลิฟต์	god lift	按電梯	初 2-3	กด
กดมือถือ	god mue thue	按手機	初 2-3	กด
กดไอแพด	god ipad	按iPad	初 2-3	กด
หน้าอก	naa ok	胸部	初 2-3	อก
อก	ok	胸部（可單獨使用）	初 2-3	อก
หน้าอกแบน	naa ok baen	胸部很平	初 2-3	อก
หน้าอกไข่ดาว	naa ok khai dao	胸部像荷包蛋	初 2-3	อก
อกไก่	ok gai	雞胸	初 2-3	อก
ชอบกินอกไก่มากๆ	chop gin ok gai mak mak	很喜歡吃雞胸肉	初 2-3	อก
ไม่เอาอกไก่	mai ao ok gai	不要雞胸肉	初 2-3	อก
อกหัก	ok hak	失戀	初 2-3	อก
ฉันอกหัก	chan ok hak	我失戀了	初 2-3	อก
ยกมือไหว้	yok mue wai	舉手合十行禮	初 2-3	ยก
ยก	yok	舉	初 2-3	ยก
ยกมือ	yok mue	舉手	初 2-3	ยก
เบา ๆ	bao bao	輕輕的	初 2-4	ๆ
นวด	nuat	按摩	初 2-4	นวด
นวดเบา ๆ หน่อยครับ	nuat bao bao noi khrab	請按摩輕一點	初 2-4	นวด, ๆ
ถ้าอ่านบ่อย ๆ ก็จะจำได้	tha aan boi boi ko ja jam dai	如果常常讀，就會記得	初 2-4	ๆ
หูฉลาม	hu cha laam	魚翅	初 2-4	ฉลาม
คุณกินหูฉลามไหม	khun gin hu cha laam mai	你吃魚翅嗎？	初 2-4	ฉลาม
จมูก	ja mook	鼻子	初 2-4	จมูก
จมูกโต	ja mook toh	鼻子很大	初 2-4	จมูก
คุณตาจมูกโต	khun taa ja mook toh	外公鼻子很大	初 2-4	จมูก
เขาจมูกโตหรือจมูกเล็ก	khao ja mook toh reu ja mook lek	他鼻子大還是鼻子小？	初 2-4	จมูก
จมูกแบน	ja mook baen	扁鼻子	初 2-4	จมูก
จมูกยาว	ja mook yao	鼻子很長	初 2-4	จมูก
หน้าอก	naa ok	胸部	初 2-4	อก
เนื้ออก	nuea ok	胸肉	初 2-4	อก
ไม่เอาเนื้ออก	mai ao nuea ok	不要胸肉	初 2-4	อก
เอาข้าวมันไก่ ไม่เอาเนื้ออก	ao khao man gai mai ao nuea ok	要海南雞飯，不要胸肉	初 2-4	อก
หน้าอกแบน	naa ok baen	平胸	初 2-4	อก
อกแบน	ok baen	平胸 (簡稱)	初 2-4	อก
คุณทำให้ฉันปวดหัว	khun tham hai chan puat hua	你讓我頭痛	初 2-4	ปวด
เขาทำให้ฉันปวดหัว	khao tham hai chan puat hua	他讓我頭痛	初 2-4	ปวด
ขอให้โชคดี	kho hai chok dii	祝你好運	初 2-4	คดี
หมอนวด	mor nuat	按摩師	初 2-4	นวด
โทรไปจองหมอนวด	thoo pai jong mor nuat	打電話去預約按摩師	初 2-4	นวด
เป็นห่วง	pen huang	擔心	初 2-4	ห่วง
ผมเป็นห่วงคุณนะ	phom pen huang khun na	我很擔心你喔	初 2-4	ห่วง
ปวดใจ	puat jai	心痛	初 2-4	ปวด
เพราะว่า	prowa	因為	初 2-5	เพราะ
ปวดหัว	puat hua	頭痛	初 2-5	ปวด
เพราะว่าปวดหัว	prowa puat hua	因為頭痛	初 2-5	ปวด, เพราะ
เพราะว่าปวดหัว ก็เลยไปซื้อยา	prowa puat hua gloeey bpai sue ya	因為頭痛，所以去買藥	初 2-5	ปวด, เพราะ
เพราะว่าชอบเมืองไทย	prowa chop muang thai	因為喜歡泰國	初 2-5	เพราะ
เพราะว่าชอบคนไทย	prowa chop khon thai	因為喜歡泰國人	初 2-5	เพราะ
มีโควิด-19	mee covid	有 Covid-19	初 2-5	-, 19
โควิด-19	covid	Covid-19	初 2-5	-, 19
เพราะว่ามีโควิด-19	prowa mee covid	因為有 Covid-19	初 2-5	-, 19, เพราะ
ก็เลยต้องล้างมือบ่อย ๆ	gloeey tong lang mue boi boi	所以要常常洗手	初 2-5	ๆ
เพราะว่าผมยาว ก็เลยไปตัดผม	prowa pom yaao gloeey bpai dtat pom	因為頭髮長，所以去剪頭髮	初 2-5	เพราะ
นวด	nuat	按摩	初 2-5	นวด
นวดไทย	nuat thai	泰式按摩	初 2-5	นวด
ชอบนวดไทยไหมคะ	chop nuat thai mai ka	喜歡泰式按摩嗎？	初 2-5	นวด
นวดเท้า	nuat thao	腳底按摩	初 2-5	นวด
นวดน้ำมัน	nuat nam man	油壓	初 2-5	นวด
นวดตัว	nuat tua	身體按摩	初 2-5	นวด
นวดหลัง	nuat lang	背部按摩	初 2-5	นวด
นวดไหล่	nuat lai	肩膀按摩	初 2-5	นวด
ร้านนวด	ran nuat	按摩店	初 2-5	นวด
ไปร้านนวด	bpai ran nuat	去按摩店	初 2-5	นวด
คุณอยากนวดอะไร	khun yaak nuat a-rai	你想按什麼？	初 2-5	นวด
คุณอยากนวดกี่ชั่วโมง	khun yaak nuat gii chua mong	你想按幾個小時？	初 2-5	นวด
ฉันอยากนวด 3 ชั่วโมง	chan yaak nuat saam chua mong	我想按三個小時	初 2-5	นวด
ปวด	puat	痠痛	初 2-5	ปวด
ปวดฟัน	puat fan	牙齒痛	初 2-5	ปวด
ทำไมปวดฟัน	tammai puat fan	為什麼牙齒痛？	初 2-5	ปวด
ปวดตา	puat dta	眼睛痠	初 2-5	ปวด
ปวดหัว	puat hua	頭痛 (內部不適)	初 2-5	ปวด
ไม่รู้ทำไมปวดตา	mai ru tammai puat dta	不知道為什麼眼睛痠	初 2-5	ปวด
เพราะว่ากินของทอดเยอะ	prowa gin khong thot yer	因為吃很多炸物	初 2-5	เพราะ
ขอให้มีเงินเยอะ ๆ	kho hai mee ngern yer yer	祝你有很多錢	初 2-5	ๆ
ถ้าเมื่อยก็ไปนวด	tha muey go bpai nuat	如果痠就去按摩	初 2-5	นวด
เขาทำให้ผมปวดหัว	kao tham hai pom puat hua	他讓我頭痛	初 2-5	ปวด
เขาทำให้ฉันปวดหัว	kao tham hai chan puat hua	他/她讓我頭痛	初 2-5	ปวด
เขาแข็งแรงมาก ๆ	kao khaeng raeng mak mak	他/她非常強壯	初 2-5	ๆ
ขอให้มีเงินเยอะ ๆ	kho hai mee ngern yer yer	祝你有很多錢	初 2-5	ๆ
ขอให้มีความสุขมาก ๆ	kho hai mee khwam suk mak mak	祝你非常快樂	初 2-5	ๆ
สุขสันต์วันเกิด ขอให้มีความสุขมาก ๆ	suk san wan geurt kho hai mee khwam suk mak mak	生日快樂，祝你非常快樂	初 2-5	ๆ
เพราะว่าปู่ไม่สบาย	prowa pu mai sabai	因為爺爺不舒服	初 2-5	เพราะ
เพราะว่าปู่ไม่สบาย ก็เลยไปหาหมอ	prowa pu mai sabai gloeey bpai ha mor	因為爺爺不舒服，所以去看醫生	初 2-5	เพราะ
สวัสดีค่ะ ฉันชื่อกุ้ง	sa wat dee kha chan chue gung	你好，我叫Gung	初 2-5	สวัส
สร้างสนามบิน	saang sanam bin	蓋新機場	初 2-5	สนาม
มาจากภาษาอังกฤษ	maa jak phasa angkrit	來自英文	初 2-5	กฤษ
เพื่อนร่วมงาน	pheuan ruam ngaan	同事	初 2-5	ร่วม
หนังสือพิมพ์อังกฤษ	nang sue phim angkrit	英文報紙	初 2-5	กฤษ
ถุงพลาสติก	toong plastic	塑膠袋	初 2-5	สติก
ไม่ใช้ถุงพลาสติก	mai chai toong plastic	不用塑膠袋	初 2-5	สติก
อพาร์ทเม้นท์	apartment	公寓；套房	初 2-5	อ
อยู่อพาร์ทเม้นท์	yuu apartment	住套房	初 2-5	อ
นักศึกษาชอบอยู่อพาร์ทเม้นท์	nak suk sa chop yuu apartment	大學生喜歡住套房	初 2-5	อ
กด	god	按	初 2-5	กด
ใช้มือกด	chai mue god	用手按	初 2-5	กด
กดไลค์	god like	按讚	初 2-5	กด, ค์
ช่วยกดไลค์ กด subscribe	chuay god like god subscribe	請幫我按讚、訂閱	初 2-5	กด, ค์
กดไลค์ให้ฉันหน่อย	god like hai chan noi	幫我按個讚	初 2-5	กด, ค์
ทำเล็บแล้วก็ไปนวด	tham lep laew ko pai nuad	做指甲然後去按摩	初 2-6	นวด
เสียดายจริงๆ	sia daai jing jing	真可惜	初 2-6	จริง, ๆ
สนุกจริงๆ	sa-nook jing jing	真好玩	初 2-6	จริง, ๆ
แต่ยิ่งกินยิ่งอ้วน	tae ying kin ying uan	但是越吃越胖	初 2-6	อ้วน
กระเป๋าสตางค์	kra-pao sa-taang	錢包 (另稱)	初 2-6	สตางค์
ทั้งหมด	thang mot	總共	初 2-6	หมด
ทั้งหมดมีกระเป๋าเดินทางกี่ใบ	thang mot mii kra-pao deun-thang gii bai	總共有幾個行李？	初 2-6	หมด
พวกเรา	phuak rao	我們	初 2-6	พวก
พวกเราไม่ซื้อของปลอม	phuak rao mai seu khong plom	我們不買假貨	初 2-6	พวก
ถุงพลาสติก	thung phlaas-tik	塑膠袋	初 2-6	สติก
เอาถุงพลาสติกไหมคะ	ao thung phlaas-tik mai kha	要塑膠袋嗎？	初 2-6	สติก
กดไลค์	got like	按讚	初 2-6	กด, ค์
ฝน	fon	雨	初 2-6	ฝน
ฝนตก	fon tok	下雨	初 2-6	ฝน
ถ้าฝนตกก็ไม่ไปว่ายน้ำ	tha fon tok ko mai pai wai nam	如果下雨，就不去游泳	初 2-6	ฝน
นวดหนักๆหน่อย	nuat nak nak noi	按重一點	初 2-6	นวด
นวดเบาๆหน่อย	nuat bao bao noi	按輕一點	初 2-6	นวด
ภรรยาเก่า / เมียเก่า	phan ra yaa kao / mia kao	前妻	初 2-6	ภรร
รับส่ง	rap song	接送	初 2-6	ส่ง
รถรับส่ง	rot rap song	接駁車	初 2-6	ส่ง
มีรถรับส่งไหม	mii rot rap song mai	有接駁車嗎？	初 2-6	ส่ง
บริษัท	baw-ri-sat	公司	初 2-6	บริ
ทำงานที่บริษัทอะไร	tham ngaan thii baw-ri-sat a-rai	在哪間公司工作？	初 2-6	บริ
บริษัทไต้หวัน	baw-ri-sat taiwan	台灣公司	初 2-6	บริ
บริษัทไทย	baw-ri-sat thai	泰國公司	初 2-6	บริ
ละคร	la khon	劇	初 2-6	คร
ละครไทย	la khon thai	泰劇	初 2-6	คร
ดูละครไทย	duu la khon thai	看泰劇	初 2-6	คร
ฝนตก	fon tok	下雨	初 2-7	ฝน
วันนี้ฝนตก	wan nee fon tok	今天下雨	初 2-7	ฝน
ฝนตกก็ต้องไปทำงาน	fon tok gor dtong bpai tam ngaan	下雨也得去工作	初 2-7	ฝน
ที่ไทยฝนตกไหม	tee thai fon tok mai	泰國下雨嗎？	初 2-7	ฝน
ฝนตกไหม	fon tok mai	下雨嗎？	初 2-7	ฝน
ฝนไม่ตก	fon mai tok	沒下雨	初 2-7	ฝน
ฝนตกหนัก	fon tok nak	下大雨	初 2-7	ฝน
นวดหนักหน่อย	nuat nak noi	按重一點	初 2-7	นวด
นวดหนักๆ หน่อย	nuat nak nak noi	按重一點	初 2-7	นวด
หมอนวด	mor nuat	按摩師	初 2-7	นวด
นวดเบาๆ หน่อย	nuat bao bao noi	按輕一點	初 2-7	นวด
ขวดเล็ก	kuad lek	小瓶	初 2-7	ขวด
ขวดเล็กเท่าไหร่	kuad lek tao-rai	小瓶多少錢？	初 2-7	ขวด
ละคร	la-korn	戲劇	初 2-7	คร
ละครเก่า	la-korn gao	舊的戲劇	初 2-7	คร
ฉันไปรับคุณที่สนามบิน	chan bpai rap khun tee sa-naam-bin	我去機場接你	初 2-7	สนาม
มีรถรับส่งไหม	mee rot rap song mai	有接駁車嗎？	初 2-7	ส่ง
มีรถรับส่งสนามบินไหม	mee rot rap song sa-naam-bin mai	有機場接駁車嗎？	初 2-7	สนาม, ส่ง
มีรถรับส่งตลาดน้ำไหม	mee rot rap song talaat nam mai	有水上市場的接駁車嗎？	初 2-7	ส่ง
บริษัท	baw-ri-sat	公司	初 2-7	บริ
บริษัทใหญ่	baw-ri-sat yai	大公司	初 2-7	บริ
คุณทำงานบริษัทอะไร	khun tam-ngaan baw-ri-sat a-rai	你在哪家(什麼)公司工作？	初 2-7	บริ
คุณทำงานบริษัทไหน	khun tam-ngaan baw-ri-sat nai	你在哪家公司工作？	初 2-7	บริ
บริษัทชื่ออะไร	baw-ri-sat chue a-rai	公司叫什麼名字？	初 2-7	บริ
ละคร	la-korn	戲劇	初 2-7	คร
ละครผู้ใหญ่	la-korn phu yai	成人戲劇	初 2-7	คร
ละครเด็ก	la-korn dek	兒童戲劇	初 2-7	คร
เพราะว่าชอบดูละครไทย ก็เลยมาเรียนภาษาไทย	phro-wa chop du la-korn thai gor loey maa rian phasa thai	因為喜歡看泰劇，所以就來學泰文	初 2-7	คร, เพราะ
ละครเรื่องนี้	la-korn reuang nee	這部戲劇	初 2-7	คร
ละครเรื่องนี้สนุกมาก	la-korn reuang nee sa-nuk mak	這部戲劇很好看	初 2-7	คร
พวกเขาเป็นดาราไทย	phuak khao bpen da-ra thai	他們是泰國明星	初 2-7	พวก
รวมกัน	ruam kan	混在一起	初 2-7	รวม
รวม	ruam	混合	初 2-7	รวม
ผัดผักรวมมิตร	phat phak ruam mit	什錦炒菜	初 2-7	มิตร, รวม
สีขาวกับสีดำ รวมกันเป็นสีเทา	see khaw gap see dam ruam kan bpen see thao	白色和黑色混在一起變成灰色	初 2-7	รวม
น้ำทะเลก็สีฟ้า	nam tha-le gor see fa	海水也是藍色的	初 2-7	เลก็สี
สีม่วง	see muang	紫色	初 2-7	ม่วง
ม่วง	muang	紫	初 2-7	ม่วง
องุ่น	a-ngun	葡萄	初 2-7	องุ่น
องุ่นสีม่วง	a-ngun see muang	紫葡萄	初 2-7	ม่วง, องุ่น
องุ่นสีเขียว	a-ngun see khieow	綠葡萄	初 2-7	องุ่น
องุ่นสีแดง	a-ngun see daeng	紅葡萄	初 2-7	องุ่น
องุ่นสีดำ	a-ngun see dam	黑葡萄	初 2-7	องุ่น
ตำรวจ	tam-ruat	警察	初 2-7	รวจ
สีชมพู	see chomphoo	粉紅色	初 2-7	ชม
เฮลโลคิตตี้สีชมพู	hello kitty see chomphoo	Hello Kitty 是粉紅色的	初 2-7	ชม, ล
ธง	thong	旗子	初 2-7	ธง
ธงสีรุ้ง	thong see rung	彩虹旗	初 2-7	ธง
ฝนตก	fon tok	下雨	初 2-8	ฝน
วันนี้ฝนตก	wan nee fon tok	今天下雨	初 2-8	ฝน
ฝนตกก็ต้องไปทำงาน	fon tok gor dtong bpai tam ngaan	下雨也得去工作	初 2-8	ฝน
ที่ไทยฝนตกไหม	tee thai fon tok mai	泰國下雨嗎？	初 2-8	ฝน
ฝนตกไหม	fon tok mai	下雨嗎？	初 2-8	ฝน
ฝนไม่ตก	fon mai tok	沒下雨	初 2-8	ฝน
ฝนตกหนัก	fon tok nak	下大雨	初 2-8	ฝน
นวดหนักหน่อย	nuat nak noi	按重一點	初 2-8	นวด
นวดหนักๆ หน่อย	nuat nak nak noi	按重一點	初 2-8	นวด
หมอนวด	mor nuat	按摩師	初 2-8	นวด
นวดเบาๆ หน่อย	nuat bao bao noi	按輕一點	初 2-8	นวด
ขวดเล็ก	kuad lek	小瓶	初 2-8	ขวด
ขวดเล็กเท่าไหร่	kuad lek tao-rai	小瓶多少錢？	初 2-8	ขวด
ละคร	la-korn	戲劇	初 2-8	คร
ละครเก่า	la-korn gao	舊的戲劇	初 2-8	คร
ฉันไปรับคุณที่สนามบิน	chan bpai rap khun tee sa-naam-bin	我去機場接你	初 2-8	สนาม
มีรถรับส่งไหม	mee rot rap song mai	有接駁車嗎？	初 2-8	ส่ง
มีรถรับส่งสนามบินไหม	mee rot rap song sa-naam-bin mai	有機場接駁車嗎？	初 2-8	สนาม, ส่ง
มีรถรับส่งตลาดน้ำไหม	mee rot rap song talaat nam mai	有水上市場的接駁車嗎？	初 2-8	ส่ง
บริษัท	baw-ri-sat	公司	初 2-8	บริ
บริษัทใหญ่	baw-ri-sat yai	大公司	初 2-8	บริ
คุณทำงานบริษัทอะไร	khun tam-ngaan baw-ri-sat a-rai	你在哪家(什麼)公司工作？	初 2-8	บริ
คุณทำงานบริษัทไหน	khun tam-ngaan baw-ri-sat nai	你在哪家公司工作？	初 2-8	บริ
บริษัทชื่ออะไร	baw-ri-sat chue a-rai	公司叫什麼名字？	初 2-8	บริ
ละคร	la-korn	戲劇	初 2-8	คร
ละครผู้ใหญ่	la-korn phu yai	成人戲劇	初 2-8	คร
ละครเด็ก	la-korn dek	兒童戲劇	初 2-8	คร
เพราะว่าชอบดูละครไทย ก็เลยมาเรียนภาษาไทย	phro-wa chop du la-korn thai gor loey maa rian phasa thai	因為喜歡看泰劇，所以就來學泰文	初 2-8	คร, เพราะ
ละครเรื่องนี้	la-korn reuang nee	這部戲劇	初 2-8	คร
ละครเรื่องนี้สนุกมาก	la-korn reuang nee sa-nuk mak	這部戲劇很好看	初 2-8	คร
พวกเขาเป็นดาราไทย	phuak khao bpen da-ra thai	他們是泰國明星	初 2-8	พวก
รวมกัน	ruam kan	混在一起	初 2-8	รวม
รวม	ruam	混合	初 2-8	รวม
ผัดผักรวมมิตร	phat phak ruam mit	什錦炒菜	初 2-8	มิตร, รวม
สีขาวกับสีดำ รวมกันเป็นสีเทา	see khaw gap see dam ruam kan bpen see thao	白色和黑色混在一起變成灰色	初 2-8	รวม
น้ำทะเลก็สีฟ้า	nam tha-le gor see fa	海水也是藍色的	初 2-8	เลก็สี
สีม่วง	see muang	紫色	初 2-8	ม่วง
ม่วง	muang	紫	初 2-8	ม่วง
องุ่น	a-ngun	葡萄	初 2-8	องุ่น
องุ่นสีม่วง	a-ngun see muang	紫葡萄	初 2-8	ม่วง, องุ่น
องุ่นสีเขียว	a-ngun see khieow	綠葡萄	初 2-8	องุ่น
องุ่นสีแดง	a-ngun see daeng	紅葡萄	初 2-8	องุ่น
องุ่นสีดำ	a-ngun see dam	黑葡萄	初 2-8	องุ่น
ตำรวจ	tam-ruat	警察	初 2-8	รวจ
สีชมพู	see chomphoo	粉紅色	初 2-8	ชม
เฮลโลคิตตี้สีชมพู	hello kitty see chomphoo	Hello Kitty 是粉紅色的	初 2-8	ชม, ล
ธง	thong	旗子	初 2-8	ธง
ธงสีรุ้ง	thong see rung	彩虹旗	初 2-8	ธง
สแกนก็ได้	sa-kaen gor dai	也可以掃描	初 3-1	สแกน
สแกน	sa-kaen	掃描	初 3-1	สแกน
หนังสือภาษาอังกฤษ	nang-seu phasa ang-grit	英文書	初 3-1	กฤษ
แต่ถุงพลาสติกต้องเสียเงิน	tae thung phlaas-tik dtong sia ngern	但是塑膠袋要付錢	初 3-1	สติก
ถุงพลาสติก	thung phlaas-tik	塑膠袋	初 3-1	สติก
เปิดขวด	bpeut khuat	開瓶	初 3-1	ขวด
พวกคุณคุยเรื่องอะไรกัน	phuak khun kui reuang a-rai gan	你們在聊什麼事情？	初 3-1	พวก
พวกเราคุยกันไม่รู้เรื่อง	phuak rao kui gan mai ru reuang	我們雞同鴨講	初 3-1	พวก
ละครเรื่องไหน	la-korn reuang nai	哪一部戲劇？	初 3-1	คร
ละครเรื่องไหนสนุก	la-korn reuang nai sa-nuk	哪一部戲劇有趣？	初 3-1	คร
จมูก	ja-mook	鼻子	初 3-1	จมูก
จมูกโต	ja-mook dto	大鼻子	初 3-1	จมูก
จมูกเล็ก	ja-mook lek	小鼻子	初 3-1	จมูก
อเมริกาโน่	a-me-ri-ga-no	美式咖啡	初 3-1	อเม
ขวดใหญ่	kuat yai	大瓶	初 3-1	ขวด
เอาเบียร์ขวดใหญ่	ao bia kuat yai	要大瓶啤酒	初 3-1	ขวด
ขวดเล็ก	kuat lek	小瓶	初 3-1	ขวด
ขวดใหญ่หรือขวดเล็ก	kuat yai rue kuat lek	大瓶還是小瓶？	初 3-1	ขวด
รถรับส่ง	rot rap song	接駁車 / 接送	初 3-1	ส่ง
ส่ง	song	送	初 3-1	ส่ง
มีรถรับส่งไหมคะ	mee rot rap song mai kha	有接駁車嗎？	初 3-1	ส่ง
มีรถรับส่งไปสนามบินไหม	mee rot rap song bpai sa-naam-bin mai	有接駁車去機場嗎？	初 3-1	สนาม, ส่ง
มีรถรับส่งสนามบินไหม	mee rot rap song sa-naam-bin mai	有機場接駁車嗎？	初 3-1	สนาม, ส่ง
มีรถรับส่งไปสนามบินค่ะ	mee rot rap song bpai sa-naam-bin kha	有接駁車去機場	初 3-1	สนาม, ส่ง
ดูละครไทย	duu la-korn thai	看泰劇	初 3-1	คร
ข้ามถนน	kham thanon	過馬路	初 3-1	ถนน
