泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
อาจารย์ของพวกคุณ	a jaan khong phuak khun	ā jān kɔ̄ngˊ pūakˋ kun	你們的老師	engine-auto	
มีนักเรียนทั้งหมดกี่คน	mii nak rian thang mot gii khon	mī nak~ rīan tang~ motˇ gīˇ kon	總共有幾個學生？	derived	
มีนักเรียนทั้งหมด 19 คน	mii nak rian thang mot sip kao khon	mī nak~ rīan tang~ motˇ 19 kon	總共有19個學生	derived	
พวก	phuak	pūakˋ	…們（用於組成複數代名詞）	engine-auto	
พวกคุณ	phuak khun	pūakˋ kun	你們	engine-auto	
พวกคุณมาจากไหน	phuak khun maa jaak nai	pūakˋ kun mā jākˇ naiˊ	你們來自哪裡？	engine-auto	
พวกเรา	phuak rao	pūakˋ rāu	我們	engine-auto	
พวกเรามาจากไต้หวัน	phuak rao maa jaak tai wan	pūakˋ rāu mā jākˇ daiˋ wanˊ	我們來自台灣	engine-auto	
พวกเราอยากเช่ารถ	phuak rao yaak chao rot	pūakˋ rāu yākˋ chāuˋ rot~	我們想租車	engine-auto	
พวกเราอยากเช่ารถค่ะ	phuak rao yaak chao rot kha	pūakˋ rāu yākˋ chāuˋ rot~ kaˋ	(女) 我們想租車	engine-auto	
พวกเขา	phuak khao	pūakˋ kāuˊ	他們	engine-auto	
พวกเขาเป็นใคร	phuak khao pen krai	pūakˋ kāuˊ ben krai	他們是誰？	engine-auto	
พวกเรา	phuak rao	pūakˋ rāu	我們	engine-auto	
พวกเราเจอกันบ่อยๆ	phuak rao jer gan boi boi	pūakˋ rāu jə̄ gan bhɔ̄iˇ bhɔ̄iˇ	我們常常見面	engine-auto	
ชื่อเล่นหรือชื่อจริง	chue len reu chue jing	chɯ̄ˋ lēnˋ rɯ̄ˊ chɯ̄ˋ jing	小名還是真名？	derived	
ชื่อจริง	chue jing	chɯ̄ˋ jing	真名	derived	
จริง	jing	jing	真的	derived	
อยู่กับภรรยา	yuu kap phan ra yaa	yūˋ gapˇ pan yā	跟妻子住	derived	
พวกเขาชอบกัน	phuak khao chop gan	pūakˋ kāuˊ chɔ̄pˋ gan	他們互相喜歡	engine-auto	
พวกเราเป็นเพื่อนกัน	phuak rao pen phuean gan	pūakˋ rāu ben pɯ̄anˋ gan	我們是朋友	engine-auto	
เพื่อนร่วมงาน	phuean ruam ngaan	pɯ̄anˋ rūamˋ ngān	同事	engine-auto	
ร่วม	ruam	rūamˋ	同、共同	engine-auto	
เป็นเพื่อนร่วมงานกัน	pen phuean ruam ngaan gan	ben pɯ̄anˋ rūamˋ ngān gan	（互相）是同事關係	engine-auto	
เป็นสามีภรรยากัน	pen sa mii phan ra yaa gan	ben sāˊ mī pan yā gan	（互相）是夫妻關係	derived	
เพื่อนร่วมงาน	phuean ruam ngaan	pɯ̄anˋ rūamˋ ngān	同事	engine-auto	
ยิ่งกินยิ่งอ้วน	ying gin ying uan	yingˋ gin yingˋ ūanˋ	越吃越胖	engine-auto	
อ้วน	uan	ūanˋ	胖	engine-auto	
คุณไม่อ้วน	khun mai uan	kun maiˋ ūanˋ	你不胖	engine-auto	
ฉันอ้วนมาก	chan uan mak	chanˊ ūanˋ mākˋ	我很胖	engine-auto	
เพื่อนร่วมงาน	phuean ruam ngaan	pɯ̄anˋ rūamˋ ngān	同事	engine-auto	
ร่วม	ruam	rūamˋ	共同	engine-auto	
พวกคุณ	phuak khun	pūakˋ kun	你們	engine-auto	
พวกคุณชอบเล่นอะไร	phuak khun chop len arai	pūakˋ kun chɔ̄pˋ lēnˋ aˇ rai	你們喜歡玩什麼？	engine-auto	
พวกคุณมาบ่อยไหม	phuak khun maa boi mai	pūakˋ kun mā bhɔ̄iˇ maiˊ	你們常來嗎？	engine-auto	
พวกเรา / เรา	phuak rao / rao	pūakˋ rāu / rāu	我們	engine-auto	
พวกเรามาไม่บ่อย	phuak rao maa mai boi	pūakˋ rāu mā maiˋ bhɔ̄iˇ	我們不常來	engine-auto	
พวกเรามาบ่อยๆ ค่ะ	phuak rao maa boi boi kha	pūakˋ rāu mā bhɔ̄iˇ bhɔ̄iˇ kaˋ	我們常常來啊	engine-auto	
สุพิตตาเป็นชื่อเล่นหรือชื่อจริง	Supitta pen chue len reu chue jing	suˇ pit~ dā ben chɯ̄ˋ lēnˋ rɯ̄ˊ chɯ̄ˋ jing	Supitta 是小名還是真名？	derived	
เป็นชื่อจริง	pen chue jing	ben chɯ̄ˋ jing	是真名	derived	
พวกเราไปเที่ยวทะเลด้วยกันไหม	phuak rao pai thiao tha lay duay gan mai	pūakˋ rāu bai tīauˋ ta~ lē dhūayˋ gan maiˊ	我們一起去海邊玩好嗎？	engine-auto	
พวกเราไปเที่ยวทะเลกันไหม	phuak rao pai thiao tha lay gan mai	pūakˋ rāu bai tīauˋ ta~ lē gan maiˊ	我們一起去海邊玩好嗎？	engine-auto	
พวกเขาเป็นเพื่อนบ้านกัน	phuak khao pen phuean baan gan	pūakˋ kāuˊ ben pɯ̄anˋ bhānˋ gan	他們互為鄰居	engine-auto	
พวกเขาเป็นเพื่อนนักเรียนกัน	phuak khao pen phuean nak rian gan	pūakˋ kāuˊ ben pɯ̄anˋ nak~ rīan gan	他們是同學	engine-auto	
เพื่อนร่วมงาน	phuean ruam ngaan	pɯ̄anˋ rūamˋ ngān	同事	engine-auto	
พวกเขาเป็นเพื่อนร่วมงานกัน	phuak khao pen phuean ruam ngaan gan	pūakˋ kāuˊ ben pɯ̄anˋ rūamˋ ngān gan	他們是同事	engine-auto	
พวกเขาเป็นพี่น้องกัน	phuak khao pen phii nong gan	pūakˋ kāuˊ ben pīˋ nɔ̄ng~ gan	他們是兄弟姊妹	engine-auto	
ยิ่งกินยิ่งอ้วน	ying gin ying uan	yingˋ gin yingˋ ūanˋ	越吃越胖	engine-auto	
หูฉลาม	hu cha laam	hūˊ chaˇ lāˊ	魚翅	derived	
ฉลาม	cha laam	chaˇ lāˊ	鯊魚	derived	
หูฉลาม อร่อยแต่แพง	hu cha laam aroi tae paeng	hūˊ chaˇ lāˊ aˇ rɔ̄iˋ dɛ̄ˇ pɛ̄ng	魚翅好吃但貴	derived	
จมูก	ja mook	jaˇ mūkˋ	鼻子	derived	
จมูกใหญ่	ja mook yai	jaˇ mūkˋ yaiˇ	鼻子大	derived	
จมูกเล็ก	ja mook lek	jaˇ mūkˋ lek~	鼻子小	derived	
จมูกเล็ก แต่น่ารัก	ja mook lek tae na rak	jaˇ mūkˋ lek~ dɛ̄ˇ nāˋ rak~	鼻子小，但是很可愛	derived	
จมูกแบน	ja mook baen	jaˇ mūkˋ bhɛ̄n	塌鼻子	derived	
ใช้นิ้วกด	chai niu god	chai~ niw~ gotˇ	用手指按	derived	
กด	god	gotˇ	按	derived	
กดลิฟต์	god lift	gotˇ lip~	按電梯	derived	
กดมือถือ	god mue thue	gotˇ mɯ̄ tɯ̄ˊ	按手機	derived	
กดไอแพด	god ipad	gotˇ ai pɛ̄tˋ	按iPad	derived	
หน้าอก	naa ok	nāˋ okˇ	胸部	derived	
อก	ok	okˇ	胸部（可單獨使用）	derived	
หน้าอกแบน	naa ok baen	nāˋ okˇ bhɛ̄n	胸部很平	derived	
หน้าอกไข่ดาว	naa ok khai dao	nāˋ okˇ kaiˇ dhāu	胸部像荷包蛋	derived	
อกไก่	ok gai	okˇ gaiˇ	雞胸	derived	
ชอบกินอกไก่มากๆ	chop gin ok gai mak mak	chɔ̄pˋ gin okˇ gaiˇ mākˋ mākˋ	很喜歡吃雞胸肉	derived	
ไม่เอาอกไก่	mai ao ok gai	maiˋ au okˇ gaiˇ	不要雞胸肉	derived	
อกหัก	ok hak	okˇ hakˇ	失戀	derived	
ฉันอกหัก	chan ok hak	chanˊ okˇ hakˇ	我失戀了	derived	
ยกมือไหว้	yok mue wai	yok~ mɯ̄ waiˋ	舉手合十行禮	derived	
ยก	yok	yok~	舉	derived	
ยกมือ	yok mue	yok~ mɯ̄	舉手	derived	
เบา ๆ	bao bao	bhāu bhāu	輕輕的	engine-auto	
นวด	nuat	nūatˋ	按摩	engine-auto	
นวดเบา ๆ หน่อยครับ	nuat bao bao noi khrab	nūatˋ bhāu bhāu nɔ̄iˇ krap~	請按摩輕一點	engine-auto	
ถ้าอ่านบ่อย ๆ ก็จะจำได้	tha aan boi boi ko ja jam dai	tāˋ ānˇ bhɔ̄iˇ bhɔ̄iˇ gɔ̄ˋ jaˇ jam dhaiˋ	如果常常讀，就會記得	engine-auto	
หูฉลาม	hu cha laam	hūˊ chaˇ lāˊ	魚翅	derived	
คุณกินหูฉลามไหม	khun gin hu cha laam mai	kun gin hūˊ chaˇ lāˊ maiˊ	你吃魚翅嗎？	derived	
จมูก	ja mook	jaˇ mūkˋ	鼻子	derived	
จมูกโต	ja mook toh	jaˇ mūkˋ dō	鼻子很大	derived	
คุณตาจมูกโต	khun taa ja mook toh	kun dā jaˇ mūkˋ dō	外公鼻子很大	derived	
เขาจมูกโตหรือจมูกเล็ก	khao ja mook toh reu ja mook lek	kāuˊ jaˇ mūkˋ dō rɯ̄ˊ jaˇ mūkˋ lek~	他鼻子大還是鼻子小？	derived	
จมูกแบน	ja mook baen	jaˇ mūkˋ bhɛ̄n	扁鼻子	derived	
จมูกยาว	ja mook yao	jaˇ mūkˋ yāu	鼻子很長	derived	
หน้าอก	naa ok	nāˋ okˇ	胸部	derived	
เนื้ออก	nuea ok	nɯ̄a~ okˇ	胸肉	derived	
ไม่เอาเนื้ออก	mai ao nuea ok	maiˋ au nɯ̄a~ okˇ	不要胸肉	derived	
เอาข้าวมันไก่ ไม่เอาเนื้ออก	ao khao man gai mai ao nuea ok	au kāuˋ man gaiˇ maiˋ au nɯ̄a~ okˇ	要海南雞飯，不要胸肉	derived	
หน้าอกแบน	naa ok baen	nāˋ okˇ bhɛ̄n	平胸	derived	
อกแบน	ok baen	okˇ bhɛ̄n	平胸 (簡稱)	derived	
คุณทำให้ฉันปวดหัว	khun tham hai chan puat hua	kun tam haiˋ chanˊ būatˇ hūaˊ	你讓我頭痛	engine-auto	
เขาทำให้ฉันปวดหัว	khao tham hai chan puat hua	kāuˊ tam haiˋ chanˊ būatˇ hūaˊ	他讓我頭痛	engine-auto	
ขอให้โชคดี	kho hai chok dii	kɔ̄ˊ haiˋ chō ka~ dhī	祝你好運	derived	
หมอนวด	mor nuat	mɔ̄ˊ nūatˋ	按摩師	engine-auto	
โทรไปจองหมอนวด	thoo pai jong mor nuat	tō bai jɔ̄ng mɔ̄ˊ nūatˋ	打電話去預約按摩師	engine-auto	
เป็นห่วง	pen huang	ben hūangˇ	擔心	derived	
ผมเป็นห่วงคุณนะ	phom pen huang khun na	pomˊ ben hūangˇ kun na~	我很擔心你喔	derived	
ปวดใจ	puat jai	būatˇ jai	心痛	engine-auto	
เพราะว่า	prowa	prɔ~ wāˋ	因為	engine-auto	
ปวดหัว	puat hua	būatˇ hūaˊ	頭痛	engine-auto	
เพราะว่าปวดหัว	prowa puat hua	prɔ~ wāˋ būatˇ hūaˊ	因為頭痛	engine-auto	
เพราะว่าปวดหัว ก็เลยไปซื้อยา	prowa puat hua gloeey bpai sue ya	prɔ~ wāˋ būatˇ hūaˊ gɔ̄ˋ lə̄i bai sɯ̄~ yā	因為頭痛，所以去買藥	engine-auto	
เพราะว่าชอบเมืองไทย	prowa chop muang thai	prɔ~ wāˋ chɔ̄pˋ mɯ̄ang tai	因為喜歡泰國	engine-auto	
เพราะว่าชอบคนไทย	prowa chop khon thai	prɔ~ wāˋ chɔ̄pˋ kon tai	因為喜歡泰國人	engine-auto	
มีโควิด-19	mee covid	mī kō wit~-19	有 Covid-19	engine-auto	
โควิด-19	covid	kō wit~-19	Covid-19	engine-auto	
เพราะว่ามีโควิด-19	prowa mee covid	prɔ~ wāˋ mī kō wit~-19	因為有 Covid-19	engine-auto	
ก็เลยต้องล้างมือบ่อย ๆ	gloeey tong lang mue boi boi	gɔ̄ˋ lə̄i dɔ̄ngˋ lāng~ mɯ̄ bhɔ̄iˇ bhɔ̄iˇ	所以要常常洗手	engine-auto	
เพราะว่าผมยาว ก็เลยไปตัดผม	prowa pom yaao gloeey bpai dtat pom	prɔ~ wāˋ pomˊ yāu gɔ̄ˋ lə̄i bai datˇ pomˊ	因為頭髮長，所以去剪頭髮	engine-auto	
นวด	nuat	nūatˋ	按摩	engine-auto	
นวดไทย	nuat thai	nūatˋ tai	泰式按摩	engine-auto	
ชอบนวดไทยไหมคะ	chop nuat thai mai ka	chɔ̄pˋ nūatˋ tai maiˊ ka~	喜歡泰式按摩嗎？	engine-auto	
นวดเท้า	nuat thao	nūatˋ tāu~	腳底按摩	engine-auto	
นวดน้ำมัน	nuat nam man	nūatˋ nām~ man	油壓	engine-auto	
นวดตัว	nuat tua	nūatˋ dūa	身體按摩	engine-auto	
นวดหลัง	nuat lang	nūatˋ langˊ	背部按摩	engine-auto	
นวดไหล่	nuat lai	nūatˋ laiˇ	肩膀按摩	engine-auto	
ร้านนวด	ran nuat	rān~ nūatˋ	按摩店	engine-auto	
ไปร้านนวด	bpai ran nuat	bai rān~ nūatˋ	去按摩店	engine-auto	
คุณอยากนวดอะไร	khun yaak nuat a-rai	kun yākˋ nūatˋ aˇ rai	你想按什麼？	engine-auto	
คุณอยากนวดกี่ชั่วโมง	khun yaak nuat gii chua mong	kun yākˋ nūatˋ gīˇ chūaˋ mōng	你想按幾個小時？	engine-auto	
ฉันอยากนวด 3 ชั่วโมง	chan yaak nuat saam chua mong	chanˊ yākˋ nūatˋ 3 chūaˋ mōng	我想按三個小時	engine-auto	
ปวด	puat	būatˇ	痠痛	engine-auto	
ปวดฟัน	puat fan	būatˇ fan	牙齒痛	engine-auto	
ทำไมปวดฟัน	tammai puat fan	tam mai būatˇ fan	為什麼牙齒痛？	engine-auto	
ปวดตา	puat dta	būatˇ dā	眼睛痠	engine-auto	
ปวดหัว	puat hua	būatˇ hūaˊ	頭痛 (內部不適)	engine-auto	
ไม่รู้ทำไมปวดตา	mai ru tammai puat dta	maiˋ rū~ tam mai būatˇ dā	不知道為什麼眼睛痠	engine-auto	
เพราะว่ากินของทอดเยอะ	prowa gin khong thot yer	prɔ~ wāˋ gin kɔ̄ngˊ tɔ̄tˋ yə~	因為吃很多炸物	engine-auto	
ขอให้มีเงินเยอะ ๆ	kho hai mee ngern yer yer	kɔ̄ˊ haiˋ mī ngə̄n yə~ yə~	祝你有很多錢	engine-auto	
ถ้าเมื่อยก็ไปนวด	tha muey go bpai nuat	tāˋ mɯ̄aiˋ gɔ̄ˋ bai nūatˋ	如果痠就去按摩	engine-auto	
เขาทำให้ผมปวดหัว	kao tham hai pom puat hua	kāuˊ tam haiˋ pomˊ būatˇ hūaˊ	他讓我頭痛	engine-auto	
เขาทำให้ฉันปวดหัว	kao tham hai chan puat hua	kāuˊ tam haiˋ chanˊ būatˇ hūaˊ	他/她讓我頭痛	engine-auto	
เขาแข็งแรงมาก ๆ	kao khaeng raeng mak mak	kāuˊ kɛngˊ rɛ̄ng mākˋ mākˋ	他/她非常強壯	engine-auto	
ขอให้มีเงินเยอะ ๆ	kho hai mee ngern yer yer	kɔ̄ˊ haiˋ mī ngə̄n yə~ yə~	祝你有很多錢	engine-auto	
ขอให้มีความสุขมาก ๆ	kho hai mee khwam suk mak mak	kɔ̄ˊ haiˋ mī kwām sukˇ mākˋ mākˋ	祝你非常快樂	engine-auto	
สุขสันต์วันเกิด ขอให้มีความสุขมาก ๆ	suk san wan geurt kho hai mee khwam suk mak mak	sukˇ sanˊ wan gə̄tˇ kɔ̄ˊ haiˋ mī kwām sukˇ mākˋ mākˋ	生日快樂，祝你非常快樂	engine-auto	
เพราะว่าปู่ไม่สบาย	prowa pu mai sabai	prɔ~ wāˋ būˇ maiˋ saˇ bhāi	因為爺爺不舒服	engine-auto	
เพราะว่าปู่ไม่สบาย ก็เลยไปหาหมอ	prowa pu mai sabai gloeey bpai ha mor	prɔ~ wāˋ būˇ maiˋ saˇ bhāi gɔ̄ˋ lə̄i bai hāˊ mɔ̄ˊ	因為爺爺不舒服，所以去看醫生	engine-auto	
สวัสดีค่ะ ฉันชื่อกุ้ง	sa wat dee kha chan chue gung	saˇ watˇ dhī kaˋ chanˊ chɯ̄ˋ gungˋ	你好，我叫Gung	derived	
สร้างสนามบิน	saang sanam bin	srāngˋ saˇ nām bhin	蓋新機場	derived	
มาจากภาษาอังกฤษ	maa jak phasa angkrit	mā jākˇ pā sāˊ ang gritˇ	來自英文	derived	
เพื่อนร่วมงาน	pheuan ruam ngaan	pɯ̄anˋ rūamˋ ngān	同事	engine-auto	
หนังสือพิมพ์อังกฤษ	nang sue phim angkrit	nangˊ sɯ̄ˊ pim ang gritˇ	英文報紙	derived	
ถุงพลาสติก	toong plastic	tungˊ plā saˇ dikˇ	塑膠袋	derived	
ไม่ใช้ถุงพลาสติก	mai chai toong plastic	maiˋ chai~ tungˊ plā saˇ dikˇ	不用塑膠袋	derived	
กด	god	gotˇ	按	derived	
ใช้มือกด	chai mue god	chai~ mɯ̄ gotˇ	用手按	derived	
กดไลค์	god like	gotˇ lai	按讚	derived	
ช่วยกดไลค์ กด subscribe	chuay god like god subscribe	chūayˋ gotˇ lai gotˇ subscribe	請幫我按讚、訂閱	derived	
กดไลค์ให้ฉันหน่อย	god like hai chan noi	gotˇ lai haiˋ chanˊ nɔ̄iˇ	幫我按個讚	derived	
ทำเล็บแล้วก็ไปนวด	tham lep laew ko pai nuad	tam lep~ lɛ̄u~ gɔ̄ˋ bai nūatˋ	做指甲然後去按摩	engine-auto	
เสียดายจริงๆ	sia daai jing jing	sīaˊ dhāi jing jing	真可惜	derived	
สนุกจริงๆ	sa-nook jing jing	saˇ nuk~ jing jing	真好玩	derived	
แต่ยิ่งกินยิ่งอ้วน	tae ying kin ying uan	dɛ̄ˇ yingˋ gin yingˋ ūanˋ	但是越吃越胖	engine-auto	
กระเป๋าสตางค์	kra-pao sa-taang	graˇ bāuˊ saˇ dāng	錢包 (另稱)	derived	
ทั้งหมด	thang mot	tang~ motˇ	總共	derived	
ทั้งหมดมีกระเป๋าเดินทางกี่ใบ	thang mot mii kra-pao deun-thang gii bai	tang~ motˇ mī graˇ bāuˊ dhə̄n tāng gīˇ bhai	總共有幾個行李？	derived	
พวกเรา	phuak rao	pūakˋ rāu	我們	engine-auto	
พวกเราไม่ซื้อของปลอม	phuak rao mai seu khong plom	pūakˋ rāu maiˋ sɯ̄~ kɔ̄ngˊ blɔ̄m	我們不買假貨	engine-auto	
ถุงพลาสติก	thung phlaas-tik	tungˊ plā saˇ dikˇ	塑膠袋	derived	
เอาถุงพลาสติกไหมคะ	ao thung phlaas-tik mai kha	au tungˊ plā saˇ dikˇ maiˊ ka~	要塑膠袋嗎？	derived	
กดไลค์	got like	gotˇ lai	按讚	derived	
ฝน	fon	fonˊ	雨	derived	
ฝนตก	fon tok	fonˊ dokˇ	下雨	derived	
ถ้าฝนตกก็ไม่ไปว่ายน้ำ	tha fon tok ko mai pai wai nam	tāˋ fonˊ dokˇ gɔ̄ˋ maiˋ bai wāiˋ nām~	如果下雨，就不去游泳	derived	
นวดหนักๆหน่อย	nuat nak nak noi	nūatˋ nakˇ nakˇ nɔ̄iˇ	按重一點	engine-auto	
นวดเบาๆหน่อย	nuat bao bao noi	nūatˋ bhāu bhāu nɔ̄iˇ	按輕一點	engine-auto	
ภรรยาเก่า / เมียเก่า	phan ra yaa kao / mia kao	pan yā gāuˇ / mīa gāuˇ	前妻	derived	
รับส่ง	rap song	rap~ songˇ	接送	derived	
รถรับส่ง	rot rap song	rot~ rap~ songˇ	接駁車	derived	
มีรถรับส่งไหม	mii rot rap song mai	mī rot~ rap~ songˇ maiˊ	有接駁車嗎？	derived	
บริษัท	baw-ri-sat	bhɔ̄ ri~ satˇ	公司	derived	
ทำงานที่บริษัทอะไร	tham ngaan thii baw-ri-sat a-rai	tam ngān tīˋ bhɔ̄ ri~ satˇ aˇ rai	在哪間公司工作？	derived	
บริษัทไต้หวัน	baw-ri-sat taiwan	bhɔ̄ ri~ satˇ daiˋ wanˊ	台灣公司	derived	
บริษัทไทย	baw-ri-sat thai	bhɔ̄ ri~ satˇ tai	泰國公司	derived	
ละคร	la khon	la~ kɔ̄n	劇	derived	
ละครไทย	la khon thai	la~ kɔ̄n tai	泰劇	derived	
ดูละครไทย	duu la khon thai	dhū la~ kɔ̄n tai	看泰劇	derived	
ฝนตก	fon tok	fonˊ dokˇ	下雨	derived	
วันนี้ฝนตก	wan nee fon tok	wan nī~ fonˊ dokˇ	今天下雨	derived	
ฝนตกก็ต้องไปทำงาน	fon tok gor dtong bpai tam ngaan	fonˊ dokˇ gɔ̄ˋ dɔ̄ngˋ bai tam ngān	下雨也得去工作	derived	
ที่ไทยฝนตกไหม	tee thai fon tok mai	tīˋ tai fonˊ dokˇ maiˊ	泰國下雨嗎？	derived	
ฝนตกไหม	fon tok mai	fonˊ dokˇ maiˊ	下雨嗎？	derived	
ฝนไม่ตก	fon mai tok	fonˊ maiˋ dokˇ	沒下雨	derived	
ฝนตกหนัก	fon tok nak	fonˊ dokˇ nakˇ	下大雨	derived	
นวดหนักหน่อย	nuat nak noi	nūatˋ nakˇ nɔ̄iˇ	按重一點	engine-auto	
นวดหนักๆ หน่อย	nuat nak nak noi	nūatˋ nakˇ nakˇ nɔ̄iˇ	按重一點	engine-auto	
หมอนวด	mor nuat	mɔ̄ˊ nūatˋ	按摩師	engine-auto	
นวดเบาๆ หน่อย	nuat bao bao noi	nūatˋ bhāu bhāu nɔ̄iˇ	按輕一點	engine-auto	
ขวดเล็ก	kuad lek	kūatˇ lek~	小瓶	derived	
ขวดเล็กเท่าไหร่	kuad lek tao-rai	kūatˇ lek~ tāuˋ raiˇ	小瓶多少錢？	derived	
ละคร	la-korn	la~ kɔ̄n	戲劇	derived	
ละครเก่า	la-korn gao	la~ kɔ̄n gāuˇ	舊的戲劇	derived	
ฉันไปรับคุณที่สนามบิน	chan bpai rap khun tee sa-naam-bin	chanˊ bai rap~ kun tīˋ saˇ nām bhin	我去機場接你	derived	
มีรถรับส่งไหม	mee rot rap song mai	mī rot~ rap~ songˇ maiˊ	有接駁車嗎？	derived	
มีรถรับส่งสนามบินไหม	mee rot rap song sa-naam-bin mai	mī rot~ rap~ songˇ saˇ nām bhin maiˊ	有機場接駁車嗎？	derived	
มีรถรับส่งตลาดน้ำไหม	mee rot rap song talaat nam mai	mī rot~ rap~ songˇ daˇ lātˋ nām~ maiˊ	有水上市場的接駁車嗎？	derived	
บริษัท	baw-ri-sat	bhɔ̄ ri~ satˇ	公司	derived	
บริษัทใหญ่	baw-ri-sat yai	bhɔ̄ ri~ satˇ yaiˇ	大公司	derived	
คุณทำงานบริษัทอะไร	khun tam-ngaan baw-ri-sat a-rai	kun tam ngān bhɔ̄ ri~ satˇ aˇ rai	你在哪家(什麼)公司工作？	derived	
คุณทำงานบริษัทไหน	khun tam-ngaan baw-ri-sat nai	kun tam ngān bhɔ̄ ri~ satˇ naiˊ	你在哪家公司工作？	derived	
บริษัทชื่ออะไร	baw-ri-sat chue a-rai	bhɔ̄ ri~ satˇ chɯ̄ˋ aˇ rai	公司叫什麼名字？	derived	
ละคร	la-korn	la~ kɔ̄n	戲劇	derived	
ละครผู้ใหญ่	la-korn phu yai	la~ kɔ̄n pūˋ yaiˇ	成人戲劇	derived	
ละครเด็ก	la-korn dek	la~ kɔ̄n dhekˇ	兒童戲劇	derived	
เพราะว่าชอบดูละครไทย ก็เลยมาเรียนภาษาไทย	phro-wa chop du la-korn thai gor loey maa rian phasa thai	prɔ~ wāˋ chɔ̄pˋ dhū la~ kɔ̄n tai gɔ̄ˋ lə̄i mā rīan pā sāˊ tai	因為喜歡看泰劇，所以就來學泰文	derived	
ละครเรื่องนี้	la-korn reuang nee	la~ kɔ̄n rɯ̄angˋ nī~	這部戲劇	derived	
ละครเรื่องนี้สนุกมาก	la-korn reuang nee sa-nuk mak	la~ kɔ̄n rɯ̄angˋ nī~ saˇ nuk~ mākˋ	這部戲劇很好看	derived	
พวกเขาเป็นดาราไทย	phuak khao bpen da-ra thai	pūakˋ kāuˊ ben dhā rā tai	他們是泰國明星	engine-auto	
รวมกัน	ruam kan	rūam gan	混在一起	engine-auto	
รวม	ruam	rūam	混合	engine-auto	
ผัดผักรวมมิตร	phat phak ruam mit	patˇ pakˇ rūam mit~	什錦炒菜	derived	
สีขาวกับสีดำ รวมกันเป็นสีเทา	see khaw gap see dam ruam kan bpen see thao	sīˊ kāuˊ gapˇ sīˊ dham rūam gan ben sīˊ tāu	白色和黑色混在一起變成灰色	engine-auto	
สีม่วง	see muang	sīˊ mūangˋ	紫色	engine-auto	
ม่วง	muang	mūangˋ	紫	engine-auto	
องุ่น	a-ngun	aˇ ngunˋ	葡萄	derived	
องุ่นสีม่วง	a-ngun see muang	aˇ ngunˋ sīˊ mūangˋ	紫葡萄	derived	
